need_id,carrier_id,destination,destination_name,container_size,quantity,teu,due_time,due_slot,priority,need_reason,inventory_lb,rail_served_boxes,rail_served_teu,rail_unserved_boxes,rail_unserved_teu
NEED0033,CARRIER_A,YAKMOK,약목역 CY,20FT,1,1,2026-08-16 10:00,154,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0034,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-10 17:00,17,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0035,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-11 16:00,40,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0036,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-11 18:00,42,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0037,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 09:00,57,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0038,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 12:00,60,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0039,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 15:00,63,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0040,CARRIER_A,YAKMOK,약목역 CY,40FT,2,4,2026-08-12 16:00,64,1,FORECAST_STOCKOUT,0,0,0,2,4
NEED0041,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-13 15:00,87,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0042,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0043,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0044,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-14 19:00,115,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0045,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-15 13:00,133,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0046,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-15 15:00,135,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0047,CARRIER_A,YAKMOK,약목역 CY,40FT,1,2,2026-08-16 07:00,151,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0048,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-13 10:00,82,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0049,CARRIER_B,BUGANG,부강화물역 CY,20FT,2,2,2026-08-13 13:00,85,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0050,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-13 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0051,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-13 16:00,88,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0052,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-14 06:00,102,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0053,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-14 15:00,111,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0054,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-14 17:00,113,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0055,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0056,CARRIER_B,BUGANG,부강화물역 CY,20FT,1,1,2026-08-16 19:00,163,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0057,CARRIER_B,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 13:00,157,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0058,CARRIER_B,BUGANG,부강화물역 CY,40FT,1,2,2026-08-16 19:00,163,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0059,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-11 13:00,37,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0060,CARRIER_B,BUSAN,부산신항,20FT,2,2,2026-08-11 14:00,38,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0061,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-11 15:00,39,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0062,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-11 16:00,40,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0063,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-11 18:00,42,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0064,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 06:00,54,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0065,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 07:00,55,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0066,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 09:00,57,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0067,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0068,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 14:00,62,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0069,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-12 17:00,65,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0070,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 07:00,79,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0071,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0072,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 11:00,83,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0073,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-13 12:00,84,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0074,CARRIER_B,BUSAN,부산신항,20FT,1,1,2026-08-16 10:00,154,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0075,CARRIER_B,DONGSAN,동산역 CY,20FT,1,1,2026-08-15 05:00,125,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0076,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-11 07:00,31,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0077,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-12 10:00,58,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0078,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-12 18:00,66,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0079,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-13 13:00,85,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0080,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-13 15:00,87,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0081,CARRIER_B,GWANGYANG,신광양항,20FT,1,1,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0082,CARRIER_C,BUSAN,부산신항,20FT,1,1,2026-08-11 13:00,37,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0083,CARRIER_C,BUSAN,부산신항,20FT,1,1,2026-08-12 14:00,62,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0084,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-12 18:00,66,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0085,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-13 09:00,81,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0086,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-13 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0087,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 06:00,102,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0088,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 09:00,105,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0089,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-14 12:00,108,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0090,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-15 10:00,130,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0091,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-15 19:00,139,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0092,CARRIER_C,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0093,CARRIER_C,DONGSAN,동산역 CY,40FT,1,2,2026-08-12 06:00,54,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0094,CARRIER_C,DONGSAN,동산역 CY,40FT,1,2,2026-08-16 17:00,161,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0095,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2026-08-12 18:00,66,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0096,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0097,CARRIER_D,GWANGYANG,신광양항,40FT,1,2,2026-08-14 17:00,113,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0098,CARRIER_E,BUSAN,부산신항,20FT,1,1,2026-08-11 15:00,39,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0099,CARRIER_E,BUSAN,부산신항,20FT,1,1,2026-08-12 05:00,53,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0100,CARRIER_E,BUSAN,부산신항,20FT,1,1,2026-08-12 09:00,57,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0101,CARRIER_E,BUSAN,부산신항,20FT,1,1,2026-08-13 09:00,81,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0102,CARRIER_E,BUSAN,부산신항,20FT,1,1,2026-08-14 16:00,112,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0103,CARRIER_E,BUSAN,부산신항,20FT,1,1,2026-08-15 12:00,132,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0104,CARRIER_E,BUSAN,부산신항,40FT,1,2,2026-08-14 09:00,105,1,FORECAST_STOCKOUT,0,0,0,1,2
NEED0105,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-11 12:00,36,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0106,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-12 05:00,53,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0107,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-13 06:00,78,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0108,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-13 14:00,86,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0109,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-13 17:00,89,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0110,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-14 16:00,112,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0111,CARRIER_E,GWANGYANG,신광양항,20FT,1,1,2026-08-15 12:00,132,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0112,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-11 11:00,35,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0113,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-12 13:00,61,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0114,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-13 06:00,78,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0115,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-13 10:00,82,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0116,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-13 16:00,88,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0117,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-13 18:00,90,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0118,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-14 10:00,106,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0119,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 07:00,127,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0120,CARRIER_E,YAKMOK,약목역 CY,20FT,1,1,2026-08-15 14:00,134,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0121,CARRIER_E,YAKMOK,약목역 CY,40FT,1,2,2026-08-12 10:00,58,1,FORECAST_STOCKOUT,0,1,2,0,0
NEED0122,CARRIER_F,BUSAN,부산신항,20FT,1,1,2026-08-11 14:00,38,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0123,CARRIER_F,BUSAN,부산신항,20FT,1,1,2026-08-12 07:00,55,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0124,CARRIER_F,BUSAN,부산신항,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0125,CARRIER_F,BUSAN,부산신항,20FT,1,1,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0126,CARRIER_F,DONGSAN,동산역 CY,20FT,1,1,2026-08-16 11:00,155,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0127,CARRIER_F,GWANGYANG,신광양항,20FT,2,2,2026-08-11 11:00,35,1,FORECAST_STOCKOUT,0,0,0,2,2
NEED0128,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-11 16:00,40,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0129,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-11 18:00,42,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0130,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 08:00,56,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0131,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 10:00,58,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0132,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 11:00,59,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0133,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 13:00,61,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0134,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 14:00,62,1,FORECAST_STOCKOUT,0,0,0,1,1
NEED0135,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-12 18:00,66,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0136,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 08:00,80,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0137,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 11:00,83,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0138,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 12:00,84,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0139,CARRIER_F,GWANGYANG,신광양항,20FT,2,2,2026-08-13 15:00,87,1,FORECAST_STOCKOUT,0,2,2,0,0
NEED0140,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-13 16:00,88,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0141,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 05:00,101,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0142,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 08:00,104,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0143,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 11:00,107,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0144,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 14:00,110,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0145,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 15:00,111,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0146,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-14 18:00,114,1,FORECAST_STOCKOUT,0,1,1,0,0
NEED0147,CARRIER_F,GWANGYANG,신광양항,20FT,1,1,2026-08-15 11:00,131,1,FORECAST_STOCKOUT,0,0,0,1,1
